"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX45,MX32,MX1,MX42,MX51,MX24,MX18,MX21,MX25,MX48,MX3,MX12,MX33,MX31,MX10,MX11,MX67,MX59,MX29,MX41,MX39,MX30,MX40,MX9,MX34,MX50,MX37,MX61,MX2,MX64,MX13,MX4,MX47,MX6,MX66,MX28,MX57,MX65,MX63,MX62,MX8,MX60,MX36,MX54,MX38,MX53,MX46,MX5,MX55,MX23,MX43,MX56,MX58,MX16,MX17,MX26,MX14,MX52,MX44,MX20,MX15,MX68,MX19,MX22,MX35,MX69,MX7,MX49,MX27";"SW_MX_1u";69;"MX_SW_solder";;;
2;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F072CBT6";;; https://www.digikey.ca/en/products/detail/stmicroelectronics/STM32F072CBT6/4815292
3;"C6,C3,C4,C5,C7,C8,C1";"C_0402_1005Metric";7;"100nF";;; https://www.lcsc.com/product-detail/C307331.html
4;"C9,C10";"C_0402_1005Metric";2;"1uF";;; https://www.lcsc.com/product-detail/C307331.html
5;"R2,R3,R1,R4";"R_0402_1005Metric";4;"5.1k";;; https://www.lcsc.com/product-detail/C25905.html
6;"BOOT1,RST1";"SW_SPST_TL3342";2;"SW_SPST";;; https://jlcpcb.com/partdetail/ESwitch-TL3342F260QG/C2886894
7;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;; https://jlcpcb.com/partdetail/C9900015525
8;"F1";"Fuse_1206_3216Metric";1;"500mA";;; https://www.lcsc.com/product-detail/C135341.html
9;"U5";"C_0402_1005Metric";1;"TXB0101";;; https://www.lcsc.com/product-detail/C324081.html
10;"U3";"SOT-23";1;"XC6206PxxxMR-Regulator_Linear";;; https://www.lcsc.com/product-detail/C5446.html
11;"U2";"SOT-143";1;"PRTR5V0U2X";;;  https://www.lcsc.com/product-detail/C2827688.html
12;"C2";"C_0402_1005Metric";1;"10uF";;; https://www.lcsc.com/product-detail/C307331.html
13;"C43,C44";"C_0402_1005Metric";2;"0.1uF";;; https://www.lcsc.com/product-detail/C307331.html
14;"D59,D69,D54,D44,D41,D47,D5,D23,D46,D38,D27,D9,D31,D24,D65,D55,D60,D34,D21,D68,D62,D26,D32,D48,D25,D20,D61,D42,D22,D43,D16,D56,D3,D1,D45,D19,D7,D35,D67,D40,D64,D33,D37,D63,D39,D66,D58,D49,D8,D12,D53,D11,D6,D52,D2,D15,D36,D57,D17,D51,D14,D18,D30,D50,D13,D4,D28,D29,D10";"D_SOD-123";69;"D_Small";;; https://www.digikey.ca/en/products/detail/shenzhen-slkormicro-semicon-co-ltd/1N4148W/21853071
15;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;; 
16;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;; 

physical:
EPOMAKER Roseveil Silent Switch Set https://epomaker.ca/products/epomaker-roseveil-silent-switch-set?_pos=3&_sid=4f9293093&_ss=r 
DUROCK Plate Mount Stabilizer V3, Innovative Pre-Clipped Stem for Minimum Wire Wobble 2U 6.25U 7U Keyboard Stabilizers https://www.amazon.ca/dp/B0CTHT34MJ?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
dagaladoo Coffee Cat 140key keycaps,XDA Profile,dye Sublimation PBT Custom keycap with Key Puller for Gateron MX Switch Mechanical Gaming https://www.amazon.ca/dp/B0CF1ZS6D4?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
