Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D_Small","D_SOD-123",-49.875000,-316.775000,90.000000,bottom
"D2","D_Small","D_SOD-123",-30.700000,-316.725000,90.000000,bottom
"D3","D_Small","D_SOD-123",-11.625000,-316.775000,90.000000,bottom
"D4","D_Small","D_SOD-123",7.425000,-316.900000,90.000000,bottom
"D5","D_Small","D_SOD-123",26.325000,-316.725000,90.000000,bottom
"D6","D_Small","D_SOD-123",45.450000,-316.825000,90.000000,bottom
"D7","D_Small","D_SOD-123",64.550000,-316.775000,90.000000,bottom
"D8","D_Small","D_SOD-123",83.565625,-316.775000,90.000000,bottom
"D9","D_Small","D_SOD-123",102.500000,-316.550000,90.000000,bottom
"D10","D_Small","D_SOD-123",121.850000,-316.825000,90.000000,bottom
"D11","D_Small","D_SOD-123",140.625000,-316.725000,90.000000,bottom
"D12","D_Small","D_SOD-123",159.750000,-316.950000,90.000000,bottom
"D13","D_Small","D_SOD-123",178.815625,-316.675000,90.000000,bottom
"D14","D_Small","D_SOD-123",197.825000,-316.950000,90.000000,bottom
"D15","D_Small","D_SOD-123",216.875000,-316.725000,90.000000,bottom
"D16","D_Small","D_SOD-123",236.050000,-316.825000,90.000000,bottom
"D17","D_Small","D_SOD-123",-45.100000,-335.775000,90.000000,bottom
"D18","D_Small","D_SOD-123",-21.325000,-335.850000,90.000000,bottom
"D19","D_Small","D_SOD-123",-2.450000,-335.900000,90.000000,bottom
"D20","D_Small","D_SOD-123",16.850000,-336.000000,90.000000,bottom
"D21","D_Small","D_SOD-123",35.975000,-335.850000,90.000000,bottom
"D22","D_Small","D_SOD-123",54.925000,-335.675000,90.000000,bottom
"D23","D_Small","D_SOD-123",74.250000,-335.725000,90.000000,bottom
"D24","D_Small","D_SOD-123",92.975000,-335.950000,90.000000,bottom
"D25","D_Small","D_SOD-123",111.975000,-335.900000,90.000000,bottom
"D26","D_Small","D_SOD-123",131.050000,-335.900000,90.000000,bottom
"D27","D_Small","D_SOD-123",150.275000,-335.900000,90.000000,bottom
"D28","D_Small","D_SOD-123",169.350000,-335.775000,90.000000,bottom
"D29","D_Small","D_SOD-123",188.300000,-335.725000,90.000000,bottom
"D30","D_Small","D_SOD-123",212.350000,-335.900000,90.000000,bottom
"D31","D_Small","D_SOD-123",236.000000,-335.675000,90.000000,bottom
"D32","D_Small","D_SOD-123",-42.700000,-354.975000,90.000000,bottom
"D33","D_Small","D_SOD-123",-16.400000,-354.975000,90.000000,bottom
"D34","D_Small","D_SOD-123",2.650000,-354.875000,90.000000,bottom
"D35","D_Small","D_SOD-123",21.625000,-354.925000,90.000000,bottom
"D36","D_Small","D_SOD-123",40.700000,-354.875000,90.000000,bottom
"D37","D_Small","D_SOD-123",59.753125,-354.975000,90.000000,bottom
"D38","D_Small","D_SOD-123",78.825000,-354.975000,90.000000,bottom
"D39","D_Small","D_SOD-123",97.800000,-355.225000,90.000000,bottom
"D40","D_Small","D_SOD-123",116.850000,-354.875000,90.000000,bottom
"D41","D_Small","D_SOD-123",135.825000,-354.875000,90.000000,bottom
"D42","D_Small","D_SOD-123",154.900000,-355.025000,90.000000,bottom
"D43","D_Small","D_SOD-123",174.050000,-354.875000,90.000000,bottom
"D44","D_Small","D_SOD-123",205.100000,-354.875000,90.000000,bottom
"D45","D_Small","D_SOD-123",235.900000,-355.300000,90.000000,bottom
"D46","D_Small","D_SOD-123",-37.900000,-373.975000,90.000000,bottom
"D47","D_Small","D_SOD-123",-6.875000,-374.025000,90.000000,bottom
"D48","D_Small","D_SOD-123",12.075000,-374.075000,90.000000,bottom
"D49","D_Small","D_SOD-123",31.150000,-374.075000,90.000000,bottom
"D50","D_Small","D_SOD-123",50.150000,-374.075000,90.000000,bottom
"D51","D_Small","D_SOD-123",69.275000,-374.025000,90.000000,bottom
"D52","D_Small","D_SOD-123",88.275000,-374.075000,90.000000,bottom
"D53","D_Small","D_SOD-123",107.450000,-374.125000,90.000000,bottom
